Customer ID,Recency,Frequency,Monetary,Segment
12346.0,164,11,137958.2,Medium
12347.0,2,2,489628.39999999997,High
12348.0,73,1,82199.2,Low
12349.0,42,3,988321.7999999999,Top
12351.0,10,1,111344.1,Low
12352.0,10,2,127206.0,Medium
12353.0,43,1,117571.2,Medium
12355.0,202,1,180637.7,Medium
12356.0,15,3,1317311.0,Top
12357.0,23,2,4469596.3,Top
12358.0,10,3,1006033.7000000001,Top
12359.0,60,6,948443.2000000001,Top
12360.0,14,5,588607.1,High
12361.0,97,3,118899.50000000001,Medium
12362.0,373,1,48100.0,Low
12366.0,268,1,185088.80000000002,Medium
12368.0,263,1,339549.0,High
12369.0,48,3,662725.5,Top
12370.0,259,3,286609.4,High
12371.0,44,3,806385.4,Top
12373.0,259,2,282328.5,High
12374.0,56,3,831127.2999999999,Top
12376.0,24,2,186165.5,Medium
12377.0,16,2,665334.0,Top
12378.0,197,1,520849.0,High
12379.0,57,2,284152.60000000003,High
12380.0,100,7,2572051.3,Top
12385.0,14,1,717208.0,Top
12386.0,1,1,95792.99999999999,Low
12387.0,50,1,53257.799999999996,Low
12388.0,80,2,414566.5,High
12389.0,37,3,530332.1,High
12391.0,99,5,845516.6,Top
12392.0,226,1,86857.50000000001,Low
12393.0,17,2,302234.5,High
12395.0,6,4,757996.7999999999,Top
12396.0,309,1,344629.1,High
12399.0,20,3,315850.5,High
12400.0,49,1,75942.5,Low
12402.0,27,5,381581.0,High
12403.0,156,1,218914.20000000004,Medium
12404.0,317,1,23398.8,Low
12406.0,34,3,1100772.2,Top
12408.0,20,3,537321.4,High
12409.0,55,4,4568249.399999999,Top
12410.0,137,1,118540.59999999999,Medium
12411.0,44,1,128352.99999999999,Medium
12412.0,37,3,506918.5,High
12413.0,37,1,89299.5,Low
12414.0,98,3,144300.0,Medium
12415.0,10,7,7231220.8,Top
12416.0,291,1,74947.2,Low
12417.0,45,11,1164874.7,Top
12418.0,48,3,500469.39999999997,High
12419.0,20,2,186113.69999999998,Medium
12421.0,50,2,107877.2,Low
12422.0,29,14,1638448.7999999998,Top
12423.0,22,2,282339.60000000003,High
12424.0,57,2,584255.9,High
12425.0,83,1,356757.7,High
12426.0,297,1,282117.60000000003,High
12427.0,6,1,112295.0,Low
12429.0,0,5,1382138.7000000002,Top
12431.0,8,13,1617092.4000000001,Top
12433.0,1,5,2665994.3000000003,Top
12434.0,16,1,109997.3,Low
12435.0,31,4,2255534.8,Top
12437.0,30,21,2860836.3,Top
12439.0,317,2,422865.60000000003,High
12440.0,97,2,317904.0,High
12441.0,1,1,64213.50000000001,Low
12443.0,367,1,179564.7,Medium
12445.0,55,1,111584.60000000002,Low
12449.0,45,2,284382.0,High
12450.0,34,3,181418.4,Medium
12451.0,98,3,1344713.2,Top
12454.0,30,4,4866032.8,Top
12455.0,80,4,1262843.3,Top
12457.0,70,1,234091.59999999998,Medium
12458.0,62,2,307133.3,High
12459.0,240,1,168113.2,Medium
12460.0,91,1,120860.49999999999,Medium
12466.0,317,1,20990.1,Low
12467.0,58,1,49136.00000000001,Low
12468.0,161,3,1088244.0,Top
12469.0,157,2,1136099.8,Top
12470.0,324,1,78421.5,Low
12471.0,9,49,7447929.800000001,Top
12472.0,4,13,4184137.5999999996,Top
12474.0,13,13,1868004.2,Top
12475.0,44,1,157716.19999999998,Medium
12476.0,31,12,2688971.3,Top
12477.0,34,3,2610953.1,Top
12480.0,34,3,807791.4000000001,Top
12481.0,0,6,2503075.9,Top
12482.0,211,29,8765818.0,Top
12483.0,13,11,966514.0000000001,Top
12484.0,118,6,675908.6,Top
12485.0,164,1,261997.0,High
12486.0,66,1,383793.6,High
12487.0,365,1,105560.99999999999,Low
12490.0,13,11,1630112.7,Top
12492.0,38,1,167240.0,Medium
12494.0,0,3,231904.9,Medium
12495.0,275,1,132238.0,Medium
12496.0,255,2,16775.800000000003,Low
12497.0,35,2,1925998.0000000002,Top
12499.0,195,1,145676.40000000002,Medium
12500.0,70,8,628034.3,High
12503.0,219,1,416620.0,High
12504.0,52,2,109890.0,Low
12505.0,43,1,353424.0,High
12507.0,219,1,199522.5,Medium
12510.0,94,7,1552316.5,Top
12511.0,63,1,1141087.4,Top
12514.0,276,1,214629.6,Medium
12516.0,65,2,494527.19999999995,High
12519.0,111,1,142709.0,Medium
12523.0,9,12,948154.6,Top
12524.0,23,9,2456944.3000000003,Top
12525.0,133,3,360280.10000000003,High
12527.0,129,2,143116.0,Medium
12529.0,163,1,117097.6,Medium
12530.0,50,5,775882.6,Top
12531.0,321,1,668952.6,Top
12533.0,262,2,506119.30000000005,High
12537.0,43,1,271187.80000000005,High
12538.0,13,1,102305.0,Low
12539.0,85,3,2089168.0000000002,Top
12540.0,13,16,3276072.5,Top
12542.0,119,2,178295.6,Medium
12543.0,83,1,362692.5,High
12547.0,135,1,65038.6,Low
12549.0,210,6,583001.6,High
12553.0,20,2,339093.9,High
12554.0,83,1,173345.0,Medium
12555.0,317,1,47815.1,Low
12557.0,6,4,2488316.6,Top
12562.0,20,2,438516.60000000003,High
12563.0,43,1,92218.8,Low
12567.0,2,7,1594174.5999999999,Top
12568.0,279,1,25900.0,Low
12570.0,317,1,28682.399999999998,Low
12573.0,16,4,206041.9,Medium
12575.0,92,2,230443.39999999997,Medium
12576.0,27,3,305949.3,High
12577.0,16,5,366485.0,High
12578.0,20,2,683737.8,Top
12580.0,211,1,235764.00000000003,Medium
12582.0,57,2,543544.7999999999,High
12583.0,8,13,2651442.1999999997,Top
12586.0,9,3,690320.1,Top
12588.0,34,3,275235.6,High
12589.0,56,6,1498122.6,Top
12591.0,25,2,327857.0,High
12592.0,154,3,793672.2,Top
12594.0,13,5,648199.3,Top
12595.0,139,1,110637.4,Low
12598.0,98,3,559073.7,High
12599.0,16,6,467731.80000000005,High
12600.0,6,12,904605.6000000001,Top
12601.0,39,1,38553.99999999999,Low
12605.0,11,4,456191.5,High
12606.0,317,1,7770.0,Low
12608.0,39,1,153842.30000000002,Medium
12609.0,9,6,854333.7000000001,Top
12613.0,23,5,1285006.3,Top
12615.0,48,4,1276422.3,Top
12616.0,23,1,154586.0,Medium
12619.0,195,1,51851.799999999996,Low
12621.0,0,16,4101871.8,Top
12623.0,51,6,1273813.8,Top
12625.0,144,2,917992.2,Top
12629.0,20,2,576541.4,High
12631.0,91,5,1051195.9000000001,Top
12632.0,155,2,297805.6,High
12633.0,17,3,1300246.5999999999,Top
12634.0,170,2,181300.0,Medium
12635.0,27,2,459255.10000000003,High
12636.0,373,1,52170.0,Low
12637.0,13,4,843936.7,Top
12638.0,274,1,92426.0,Low
12639.0,69,2,305719.89999999997,High
12643.0,20,6,1835266.6,Top
12644.0,65,3,533014.6,High
12645.0,44,4,652724.3999999999,Top
12647.0,2,27,5254566.100000001,Top
12648.0,72,3,293761.5,High
12649.0,17,5,618321.7999999999,High
12651.0,13,3,97587.5,Low
12652.0,69,1,35908.50000000001,Low
12653.0,161,1,721862.6,Top
12655.0,58,1,96699.50000000001,Low
12656.0,60,3,871964.2,Top
12661.0,71,1,59940.0,Low
12662.0,8,10,1161148.8,Top
12663.0,259,2,88578.0,Low
12664.0,149,2,439619.2,High
12665.0,52,2,92722.0,Low
12666.0,29,1,461915.4,High
12668.0,13,6,2803075.6,Top
12670.0,20,2,282768.8,High
12671.0,241,1,970317.9700000001,Top
12672.0,230,1,78125.5,Low
12673.0,36,1,229215.0,Medium
12675.0,188,2,354182.5,High
12676.0,43,5,559329.0,High
12677.0,190,2,146187.0,Medium
12678.0,10,9,6161506.4,Top
12681.0,2,24,6319873.800000001,Top
12682.0,0,23,4345905.3,Top
12683.0,0,8,1561477.7,Top
12686.0,6,1,32981.8,Low
12687.0,115,2,791396.7,Top
12691.0,55,1,49802.0,Low
12692.0,272,1,41051.5,Low
12693.0,31,3,313430.7,High
12694.0,56,1,360261.6,High
12695.0,163,3,305257.39999999997,High
12696.0,69,2,315206.7,High
12698.0,225,1,125707.5,Medium
12699.0,52,1,236100.7,Medium
12701.0,164,4,610019.0,High
12703.0,268,3,267502.60000000003,High
12705.0,18,5,1810709.7000000002,Top
12708.0,3,9,962440.3,Top
12709.0,1,20,7809937.8,Top
12711.0,246,2,495448.5,High
12712.0,0,10,1035086.1000000001,Top
12714.0,23,7,3472394.5,Top
12717.0,225,1,102834.1,Low
12720.0,4,6,917207.8,Top
12721.0,20,2,502071.5,High
12724.0,18,3,475860.69999999995,High
12725.0,6,4,838701.2000000001,Top
12726.0,22,4,520035.0,High
12727.0,77,3,628567.1000000001,High
12728.0,18,1,86520.8,Low
12730.0,156,1,306822.5,High
12731.0,77,5,2545526.0,Top
12733.0,24,3,755140.4,Top
12734.0,9,2,195822.5,Medium
12737.0,133,2,1372885.0,Top
12738.0,7,1,57479.5,Low
12739.0,20,2,634065.3,High
12741.0,164,2,150245.9,Medium
12742.0,260,1,444562.39999999997,High
12744.0,94,4,1493974.9,Top
12745.0,121,3,342401.7,High
12746.0,175,1,94183.5,Low
12747.0,4,16,1872581.0999999999,Top
12748.0,0,144,8309423.000000001,Top
12749.0,34,4,1038397.6,Top
12751.0,79,1,99259.9,Low
12755.0,0,10,1930922.6999999997,Top
12758.0,94,5,2631310.5,Top
12759.0,21,5,1291041.0,Top
12760.0,90,1,128686.0,Medium
12761.0,92,2,289691.5,High
12763.0,4,1,118429.59999999999,Medium
12765.0,107,6,519694.6,High
12766.0,1,3,1139100.5,Top
12767.0,10,1,351433.4,High
12768.0,85,1,62415.30000000001,Low
12770.0,91,1,701150.0,Top
12771.0,120,1,104451.0,Low
12773.0,199,1,45972.5,Low
12774.0,170,1,36519.0,Low
12775.0,23,2,111029.59999999999,Low
12776.0,302,1,20535.0,Low
12777.0,92,1,192196.50000000003,Medium
12778.0,31,3,352776.5,High
12779.0,6,7,1014136.7,Top
12780.0,233,1,124837.99999999999,Medium
12782.0,9,6,846308.4,Top
12784.0,164,1,455222.1,High
12785.0,170,2,291726.5,High
12786.0,244,1,269545.0,High
12787.0,48,1,147452.4,Medium
12788.0,98,4,164613.0,Medium
12789.0,147,2,67155.0,Low
12790.0,45,1,98764.1,Low
12791.0,8,6,319498.7,High
12792.0,169,1,157793.90000000002,Medium
12793.0,6,2,174584.5,Medium
12796.0,263,1,140970.0,Medium
12797.0,0,2,204269.6,Medium
12798.0,56,1,567539.2999999999,High
12799.0,164,1,81159.5,Low
12800.0,105,3,216172.5,Medium
12801.0,135,1,396573.39999999997,High
12802.0,77,6,735870.7999999999,Top
12803.0,28,1,404339.69999999995,High
12804.0,100,2,120386.90000000001,Medium
12805.0,16,4,530931.5,High
12806.0,70,4,1065215.2,Top
12807.0,18,1,122229.50000000001,Medium
12808.0,3,3,156306.5,Medium
12809.0,200,2,468653.10000000003,High
12810.0,169,2,197946.30000000002,Medium
12811.0,13,2,192048.49999999997,Medium
12813.0,136,3,624486.0,High
12817.0,34,2,194227.80000000002,Medium
12819.0,93,1,199992.4,Medium
12820.0,32,7,646456.6,Top
12821.0,246,1,47389.59999999999,Low
12823.0,29,13,1754540.0,Top
12825.0,156,2,191893.1,Medium
12826.0,0,6,547981.1,High
12829.0,185,1,34151.00000000001,Low
12831.0,98,2,87342.2,Low
12835.0,62,41,2218827.1,Top
12836.0,24,11,1461266.9,Top
12837.0,204,1,195567.2,Medium
12838.0,8,9,997057.5,Top
12839.0,2,13,1657714.7000000002,Top
12840.0,72,3,486624.0,High
12841.0,4,17,1284865.7,Top
12842.0,39,2,295630.0,High
12843.0,17,22,1806007.0000000002,Top
12844.0,77,2,119376.79999999999,Medium
12846.0,317,1,5764.6,Low
12847.0,22,1,283183.2,High
12848.0,310,1,76960.0,Low
12849.0,16,4,751906.6,Top
12850.0,80,1,122100.0,Medium
12851.0,112,1,55111.49999999999,Low
12853.0,62,5,721648.0,Top
12854.0,196,4,612246.4,High
12855.0,7,4,226750.80000000002,Medium
12857.0,71,4,955192.0,Top
12858.0,18,1,54489.9,Low
12859.0,93,1,212787.0,Medium
12860.0,328,1,20061.399999999998,Low
12861.0,254,1,25252.5,Low
12862.0,60,2,364309.4,High
12863.0,14,5,840399.5,Top
12864.0,143,1,56406.49999999999,Low
12865.0,13,2,649438.8,Top
12866.0,109,2,247245.1,Medium
12867.0,32,6,1413370.4000000001,Top
12868.0,8,3,236800.0,Medium
12869.0,316,1,124937.89999999998,Medium
12870.0,10,3,620471.5,High
12871.0,74,1,134450.6,Medium
12872.0,0,11,1133132.4,Top
12873.0,32,2,611721.0,High
12874.0,20,2,350915.39999999997,High
12875.0,106,3,375091.2,High
12876.0,29,2,689594.9,Top
12877.0,36,8,520356.9,High
12880.0,16,2,236848.1,Medium
12887.0,18,1,82288.0,Low
12889.0,16,4,142620.2,Medium
12890.0,22,1,121841.0,Medium
12891.0,93,8,188515.0,Medium
12892.0,31,1,97450.59999999999,Low
12894.0,210,1,58219.5,Low
12897.0,16,2,110167.5,Low
12898.0,98,2,109597.70000000001,Low
12899.0,48,1,135568.0,Medium
12900.0,57,1,125922.09999999999,Medium
12903.0,63,1,308406.1,High
12905.0,211,2,376815.39999999997,High
12907.0,30,2,188296.7,Medium
12908.0,15,3,379620.0,High
12909.0,59,3,342072.39999999997,High
12910.0,14,5,1006947.6,Top
12911.0,186,1,611136.4,High
12913.0,3,9,1560375.1,Top
12914.0,35,1,82872.59999999999,Low
12915.0,7,3,300107.0,High
12916.0,77,3,567868.6,High
12917.0,35,5,1393124.0,Top
12918.0,261,1,4052795.0,Top
12920.0,206,3,119828.20000000001,Medium
12921.0,1,39,7153561.5,Top
12923.0,25,2,221112.0,Medium
12924.0,28,8,568209.0,High
12925.0,227,1,13053.6,Low
12926.0,46,4,563868.9,High
12927.0,29,1,73004.7,Low
12928.0,13,7,829610.3,Top
12931.0,15,42,18607810.599999998,Top
12932.0,174,8,628467.2,High
12933.0,15,5,380766.99999999994,High
12934.0,371,1,67210.5,Low
12935.0,10,8,770769.2,Top
12937.0,98,5,589535.7999999999,High
12939.0,14,12,5062710.0,Top
12941.0,359,1,139671.30000000002,Medium
12942.0,0,1,95737.5,Low
12943.0,193,2,183705.0,Medium
12945.0,291,1,161749.2,Medium
12946.0,71,1,120046.5,Medium
12947.0,8,1,112494.8,Low
12948.0,365,2,93417.6,Low
12949.0,17,14,4203007.6,Top
12951.0,21,9,795370.5,Top
12953.0,157,1,184615.2,Medium
12954.0,273,1,60106.49999999999,Low
12956.0,319,3,153113.4,Medium
12957.0,176,5,1735089.1,Top
12958.0,35,2,172915.8,Medium
12959.0,119,1,55851.49999999999,Low
12960.0,48,4,489165.89999999997,High
12961.0,14,1,78436.3,Low
12963.0,0,5,645635.2000000001,Top
